index,ncaa_id,team,player_id,name,year,hometown,homestate,high_school,previous_school_clean,height_clean,position,jersey,url,season,team_state,conference,division,height_ft,height_in,total_inches,primary_position,secondary_position,position_clean,year_clean,redshirt,hs_clean,hometown_clean,state_clean,country_clean
0,721,Air Force,11807.0,Mackenzie Le,Freshman,Elk Grove,California,St. Francis,,"5'3""",G,1,https://www.goairforcefalcons.com/sports/womens-basketball/roster/mackenzie-le/11807,2022-23,CO,Mountain West,I,5.0,3.0,63.0,GUARD,,GUARD,Freshman,0,St. Francis,"ELK GROVE, CA",CA,USA
1,721,Air Force,11805.0,Milahnie Perry,Freshman,Tampa,Florida,Seffner Christian Academy,,"5'7""",G,2,https://www.goairforcefalcons.com/sports/womens-basketball/roster/milahnie-perry/11805,2022-23,CO,Mountain West,I,5.0,7.0,67.0,GUARD,,GUARD,Freshman,0,Seffner Christian Academy,"TAMPA, FL",FL,USA
2,721,Air Force,11801.0,Madison Smith,Sophomore,Connell,Washington,Connell,,"5'8""",G,4,https://www.goairforcefalcons.com/sports/womens-basketball/roster/madison-smith/11801,2022-23,CO,Mountain West,I,5.0,8.0,68.0,GUARD,,GUARD,Sophomore,0,Connell,"CONNELL, WA",WA,USA
3,721,Air Force,11795.0,Taylor Britt,Junior,Columbia,South Carolina,Spring Valley,USAFA Prep,"5'7""",G,5,https://www.goairforcefalcons.com/sports/womens-basketball/roster/taylor-britt/11795,2022-23,CO,Mountain West,I,5.0,7.0,67.0,GUARD,,GUARD,Junior,0,Spring Valley,"COLUMBIA, SC",SC,USA
4,721,Air Force,11796.0,Kamri Heath,Senior,Edmond,Oklahoma,Edmond North,,"5'7""",G,10,https://www.goairforcefalcons.com/sports/womens-basketball/roster/kamri-heath/11796,2022-23,CO,Mountain West,I,5.0,7.0,67.0,GUARD,,GUARD,Senior,0,Edmond North,"EDMOND, OK",OK,USA
5,721,Air Force,11800.0,Kayla Pilson,Junior,Houston,Texas,Westside,USAFA Prep,"5'10""",G/F,11,https://www.goairforcefalcons.com/sports/womens-basketball/roster/kayla-pilson/11800,2022-23,CO,Mountain West,I,5.0,10.0,70.0,GUARD,FORWARD,GUARD/FORWARD,Junior,0,Westside,"HOUSTON, TX",TX,USA
6,721,Air Force,11806.0,Faith Shelton,Freshman,Stockton,California,Lincoln,,"6'2""",C/F,13,https://www.goairforcefalcons.com/sports/womens-basketball/roster/faith-shelton/11806,2022-23,CO,Mountain West,I,6.0,2.0,74.0,FORWARD,CENTER,FORWARD/CENTER,Freshman,0,Lincoln,"STOCKTON, CA",CA,USA
7,721,Air Force,11804.0,Griffin Greenwood,Freshman,Monument,Colorado,Lewis-Palmer,,"5'11""",F,21,https://www.goairforcefalcons.com/sports/womens-basketball/roster/griffin-greenwood/11804,2022-23,CO,Mountain West,I,5.0,11.0,71.0,FORWARD,,FORWARD,Freshman,0,Lewis-Palmer,"MONUMENT, CO",CO,USA
8,721,Air Force,11803.0,Parker Brown,Freshman,Spokane,Washington,Mead,,"6'0""",F,23,https://www.goairforcefalcons.com/sports/womens-basketball/roster/parker-brown/11803,2022-23,CO,Mountain West,I,6.0,0.0,72.0,FORWARD,,FORWARD,Freshman,0,Mead,"SPOKANE, WA",WA,USA
9,721,Air Force,11798.0,Dasha Macmillan,Junior,Colleyville,Texas,Grapevine,,"6'0""",F,30,https://www.goairforcefalcons.com/sports/womens-basketball/roster/dasha-macmillan/11798,2022-23,CO,Mountain West,I,6.0,0.0,72.0,FORWARD,,FORWARD,Junior,0,Grapevine,"COLLEYVILLE, TX",TX,USA
